Period,StationNames,MaxTemp,MinTemp,Rainfall,RelativeHumidity,WindSpeed,CloudCoverage,BrightSunshine,StationNumber,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT
1966.04,Barisal,34,23.9,1,80,2,4.5,8.219148936,41950,536809.8,510151.9,22.7,90.36,4
1967.04,Barisal,36.9,23,105,74,1.6,2.9,7.8,41950,536809.8,510151.9,22.7,90.36,4
1968.04,Barisal,35.9,23.4,64,77,1.8,4.1,7.8,41950,536809.8,510151.9,22.7,90.36,4
1969.04,Barisal,36.4,23.5,82,77,1.8,3.9,7.6,41950,536809.8,510151.9,22.7,90.36,4
1970.04,Barisal,35,24.3,91,80,2,3.6,8.6,41950,536809.8,510151.9,22.7,90.36,4
1971.04,Barisal,34.1,23.6,138,78,1.4,4.6,8.3,41950,536809.8,510151.9,22.7,90.36,4
1972.04,Barisal,37.2,23.7,121,77,2,4.1,10.5,41950,536809.8,510151.9,22.7,90.36,4
1973.04,Barisal,36,25.2,42,79,2.6,3.7,9.6,41950,536809.8,510151.9,22.7,90.36,4
1974.04,Barisal,35,23.4,187,82,2.2,4,10.3,41950,536809.8,510151.9,22.7,90.36,4
1975.04,Barisal,34,23.9,85,78,1.6,3.7,9.9,41950,536809.8,510151.9,22.7,90.36,4
1976.04,Barisal,37.2,23.9,100,77,1.8,3.1,8.3,41950,536809.8,510151.9,22.7,90.36,4
1977.04,Barisal,34.7,23.7,307,83,2.3,5,6.9,41950,536809.8,510151.9,22.7,90.36,4
1978.04,Barisal,35,22.2,242,78,1.1,3.3,8.3,41950,536809.8,510151.9,22.7,90.36,4
1979.04,Barisal,37.5,24.1,38,75,1.1,2.2,9.2,41950,536809.8,510151.9,22.7,90.36,4
1980.04,Barisal,37,25.3,13,75,2,3.4,9.2,41950,536809.8,510151.9,22.7,90.36,4
1981.04,Barisal,34,22.7,412,84,1.3,4.4,7.4,41950,536809.8,510151.9,22.7,90.36,4
1982.04,Barisal,34.4,22.6,178,79,1.7,4.3,9.4,41950,536809.8,510151.9,22.7,90.36,4
1983.04,Barisal,36.7,23,92,76,2,3.1,9.1,41950,536809.8,510151.9,22.7,90.36,4
1984.04,Barisal,36.3,23.8,102,82,1.8,4,7.8,41950,536809.8,510151.9,22.7,90.36,4
1985.04,Barisal,36.6,24.6,64,81,1.9,4.7,8.4,41950,536809.8,510151.9,22.7,90.36,4
1986.04,Barisal,35.4,23.2,102,80,1.7,4.5,8,41950,536809.8,510151.9,22.7,90.36,4
1987.04,Barisal,37.5,23.7,150,82,1.5,4.2,7.7,41950,536809.8,510151.9,22.7,90.36,4
1988.04,Barisal,37,24.3,96,79,1.1,4,8,41950,536809.8,510151.9,22.7,90.36,4
1989.04,Barisal,35.5,24.7,89,80,2.2,3.7,9,41950,536809.8,510151.9,22.7,90.36,4
1990.04,Barisal,34.6,22.9,139,82,1.9,4.8,8.4,41950,536809.8,510151.9,22.7,90.36,4
